=========================================
Process Baseline Snapshot
=========================================

Captured: 2025-11-04 10:32:39 EST
Hostname: davion-gem
System: Linux davion-gem 6.8.0-71-generic #71-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 22 16:52:38 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux
Uptime:  10:32:39 up 10 min,  4 users,  load average: 0.39, 0.31, 0.22

=========================================
Process List (ps aux)
=========================================

USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.0  22764 12972 ?        Ss   10:22   0:01 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    10:22   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    10:22   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-netns]
root           8  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/0:0-rcu_gp]
root           9  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/0:1-events]
root          10  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    10:22   0:00 [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    10:22   0:00 [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    10:22   0:00 [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    10:22   0:00 [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/2]
